,committing,disadvantaged,decision
45516,Cory Joseph,Luka Doncic,CNC
45517,Luka Doncic,De'Aaron Fox,CNC
45518,Kent Bazemore,Delon Wright,CNC
45519,Nemanja Bjelica,Dorian Finney-Smith,CNC
45520,Nemanja Bjelica,Dorian Finney-Smith,CNC
45521,Kent Bazemore,Maxi Kleber,CNC
45522,Nemanja Bjelica,Luka Doncic,CNC
45523,Cory Joseph,Luka Doncic,CNC
45524,Maxi Kleber,De'Aaron Fox,CNC
45525,Maxi Kleber,De'Aaron Fox,CNC
45526,Luka Doncic,De'Aaron Fox,CNC
45527,Nemanja Bjelica,Maxi Kleber,CNC
45528,Nemanja Bjelica,Luka Doncic,CNC
45529,Tim Hardaway Jr.,Buddy Hield,CNC
45530,Maxi Kleber,Harry Giles III,CNC
45531,Cory Joseph,Luka Doncic,CNC
45532,Buddy Hield,Dorian Finney-Smith,CNC
45533,Cory Joseph,Trey Burke,CNC
45534,Harrison Barnes,Dorian Finney-Smith,CNC
45535,Cory Joseph,Luka Doncic,CNC
45536,Maxi Kleber,Cory Joseph,CNC
45537,Harry Giles III,Luka Doncic,CNC
45538,Harry Giles III,Luka Doncic,CNC
45539,Buddy Hield,Tim Hardaway Jr.,CC
45540,Buddy Hield,Tim Hardaway Jr.,INC
45541,Harrison Barnes,Dorian Finney-Smith,CC
45542,Harry Giles III,Dorian Finney-Smith,CNC
45543,Harry Giles III,Tim Hardaway Jr.,INC
45544,Trey Burke,Harrison Barnes,CNC
45545,De'Aaron Fox,Dorian Finney-Smith,CC
45546,Buddy Hield,Dorian Finney-Smith,CNC
45547,Trey Burke,Buddy Hield,CNC
45548,Buddy Hield,Trey Burke,CC
45549,Luka Doncic,George Hill,CNC
45550,George Hill,Luka Doncic,CNC
45551,Maxi Kleber,Giannis Antetokounmpo,CNC
45552,George Hill,Dorian Finney-Smith,CNC
45553,Dorian Finney-Smith,Giannis Antetokounmpo,INC
45554,Giannis Antetokounmpo,Kristaps Porzingis,CC
45555,Kristaps Porzingis,Brook Lopez,CNC
45556,Khris Middleton,Kristaps Porzingis,CNC
45557,Khris Middleton,Luka Doncic,CNC
45558,Giannis Antetokounmpo,Mavericks,INC
45559,Maxi Kleber,George Hill,CNC
45560,Kristaps Porzingis,Wesley Matthews,CNC
45561,Kristaps Porzingis,Giannis Antetokounmpo,CNC
45562,Khris Middleton,Luka Doncic,CC
45563,Dorian Finney-Smith,Khris Middleton,CNC
45564,Tim Hardaway Jr.,George Hill,CNC
45565,Brook Lopez,Kristaps Porzingis,CNC
45566,Tim Hardaway Jr.,Giannis Antetokounmpo,CNC
45567,Luka Doncic,Eric Bledsoe,CNC
45568,Eric Bledsoe,Luka Doncic,CNC
45569,Pat Connaughton,Kristaps Porzingis,CNC
45570,Kristaps Porzingis,Giannis Antetokounmpo,CC
45571,Eric Bledsoe,Luka Doncic,CC
45572,Khris Middleton,Maxi Kleber,CC
45573,Giannis Antetokounmpo,Dorian Finney-Smith,CNC
45574,Dorian Finney-Smith,Khris Middleton,CNC
45575,Donte DiVincenzo,Luka Doncic,CNC
45576,Luka Doncic,Donte DiVincenzo,CNC
45577,Donte DiVincenzo,Luka Doncic,CNC
45578,Donte DiVincenzo,Luka Doncic,CNC
45579,Khris Middleton,Dorian Finney-Smith,CNC
45580,Eric Bledsoe,Luka Doncic,CNC
45581,Eric Bledsoe,Luka Doncic,CNC
45582,Giannis Antetokounmpo,Tim Hardaway Jr.,CNC
45583,Giannis Antetokounmpo,Dorian Finney-Smith,CC
45584,Mike Conley,Jerami Grant,CNC
45585,Nikola Jokic,Joe Ingles,CNC
45586,Mike Conley,Jamal Murray,CNC
45587,Torrey Craig,Donovan Mitchell,CC
45588,Rudy Gobert,Torrey Craig,CNC
45589,Torrey Craig,Donovan Mitchell,CNC
45590,Rudy Gobert,Nikola Jokic,CC
45591,Nikola Jokic,Mike Conley,CNC
45592,Nikola Jokic,Rudy Gobert,CNC
45593,Nikola Jokic,Donovan Mitchell,CNC
45594,PJ Dozier,Rudy Gobert,CNC
45595,Mike Conley,Jamal Murray,CNC
45596,Mike Conley,Jamal Murray,CNC
45597,Rudy Gobert,Nikola Jokic,CNC
45598,Jazz,Nuggets,CC
45599,Joe Ingles,Jerami Grant,CC
45600,Jamal Murray,Donovan Mitchell,IC
45601,Mike Conley,Monte Morris,CNC
45602,Torrey Craig,Donovan Mitchell,CNC
45603,Nikola Jokic,Rudy Gobert,CC
45604,Nuggets,Donovan Mitchell,CNC
45605,Joe Ingles,Jerami Grant,CC
45606,Nikola Jokic,Rudy Gobert,CNC
45607,Rudy Gobert,Torrey Craig,CNC
45608,Nikola Jokic,Donovan Mitchell,CNC
45609,Jamal Murray,Royce O'Neale,CNC
45610,Royce O'Neale,Nikola Jokic,CNC
45611,Michael Porter Jr.,Donovan Mitchell,IC
45612,Rudy Gobert,Nikola Jokic,CNC
45613,Rudy Gobert,Nikola Jokic,CNC
45614,Royce O'Neale,Jamal Murray,CNC
45615,Nikola Jokic,Royce O'Neale,CNC
45616,Rudy Gobert,Nikola Jokic,INC
45617,Rudy Gobert,Nikola Jokic,CNC
45618,Monte Morris,Donovan Mitchell,CNC
45619,Rudy Gobert,Nikola Jokic,CNC
45620,Rudy Gobert,Nikola Jokic,CNC
45621,Nikola Jokic,Jazz,CNC
45622,Rudy Gobert,Nikola Jokic,CC
45623,Royce O'Neale,Nikola Jokic,CNC
45624,Joe Ingles,Jamal Murray,CC
45625,Nikola Jokic,Donovan Mitchell,INC
45626,Monte Morris,Jazz,CC
45627,Jerami Grant,Royce O'Neale,CNC
45628,Jamal Murray,Royce O'Neale,CNC
45629,Joe Ingles,Jamal Murray,CC
45630,Nikola Jokic,Royce O'Neale,CNC
45631,Donovan Mitchell,Michael Porter Jr.,CNC
45632,Donovan Mitchell,Michael Porter Jr.,CC
45633,Monte Morris,Donovan Mitchell,CNC
45634,PJ Dozier,Tony Bradley,CNC
45635,Nikola Jokic,Royce O'Neale,CNC
45636,Nikola Jokic,Royce O'Neale,CNC
45637,Royce O'Neale,Nikola Jokic,CNC
45638,Nikola Jokic,Royce O'Neale,CNC
45639,Donovan Mitchell,Jerami Grant,CC
45640,Tony Bradley,Michael Porter Jr.,CNC
45641,Royce O'Neale,Jamal Murray,CC
45642,Jerami Grant,Donovan Mitchell,CNC
45643,Dwight Howard,Malcolm Brogdon,CNC
45644,Kentavious Caldwell-Pope,Pacers,CNC
45645,Dwight Howard,Myles Turner,CNC
45646,LeBron James,Aaron Holiday,CNC
45647,T.J. Warren,Anthony Davis,INC
45648,Aaron Holiday,Anthony Davis,CNC
45649,Anthony Davis,T.J. Warren,CNC
45650,LeBron James,Aaron Holiday,CNC
45651,Myles Turner,Dwight Howard,CNC
45652,T.J. Warren,Anthony Davis,INC
45653,Myles Turner,Anthony Davis,CNC
45654,Anthony Davis,T.J. Warren,CNC
45655,Alex Caruso,Myles Turner,CNC
45656,Myles Turner,LeBron James,CNC
45657,LeBron James,Malcolm Brogdon,CNC
45658,Justin Holiday,Lakers,CNC
45659,LeBron James,Justin Holiday,CC
45660,Kyle Kuzma,Victor Oladipo,CC
45661,Bam Adebayo,Deandre Ayton,CNC
45662,Bam Adebayo,Jevon Carter,CNC
45663,Jevon Carter,Bam Adebayo,CNC
45664,Ricky Rubio,Andre Iguodala,CNC
45665,Bam Adebayo,Jevon Carter,CNC
45666,Mikal Bridges,Duncan Robinson,CNC
45667,Jae Crowder,Devin Booker,CNC
45668,Devin Booker,Bam Adebayo,IC
45669,Bam Adebayo,Deandre Ayton,CC
45670,Deandre Ayton,Duncan Robinson,CC
45671,Kelly Olynyk,Jevon Carter,CNC
45672,Bam Adebayo,Devin Booker,CC
45673,Kelly Olynyk,Mikal Bridges,CC
45674,Carmelo Anthony,JaMychal Green,CNC
45675,Terance Mann,Jusuf Nurkic,CNC
45676,CJ McCollum,Landry Shamet,CC
45677,Landry Shamet,Jusuf Nurkic,CNC
45678,CJ McCollum,Landry Shamet,CNC
45679,CJ McCollum,Patrick Patterson,CNC
45680,CJ McCollum,Patrick Patterson,CC
45681,Carmelo Anthony,Patrick Patterson,CNC
45682,JaMychal Green,Jusuf Nurkic,CC
45683,Jusuf Nurkic,Landry Shamet,CNC
45684,Damian Lillard,Clippers,INC
45685,JaMychal Green,Damian Lillard,CNC
45686,Damian Lillard,Patrick Patterson,CNC
45687,Jusuf Nurkic,Terance Mann,CNC
45688,Jusuf Nurkic,Terance Mann,INC
45689,Rodney McGruder,Damian Lillard,CC
45690,Jusuf Nurkic,JaMychal Green,CC
45691,Zach Collins,JaMychal Green,CNC
45692,Damian Lillard,Landry Shamet,CC
45693,Daniel Theis,Markelle Fultz,CNC
45694,Terrence Ross,Daniel Theis,CNC
45695,Jayson Tatum,Markelle Fultz,CC
45696,Daniel Theis,D.J. Augustin,CNC
45697,Markelle Fultz,Daniel Theis,CNC
45698,Jayson Tatum,Nikola Vucevic,CNC
45699,Daniel Theis,Terrence Ross,CNC
45701,Daniel Theis,D.J. Augustin,CNC
45702,Markelle Fultz,Jayson Tatum,CNC
45703,Jayson Tatum,Markelle Fultz,CNC
45704,Jayson Tatum,Terrence Ross,CNC
45705,Gary Clark,Daniel Theis,CNC
45706,Markelle Fultz,Jayson Tatum,CC
45707,Nikola Vucevic,Jayson Tatum,CNC
45708,Daniel Theis,Markelle Fultz,CNC
45709,Daniel Theis,Gary Clark,CC
45710,Markelle Fultz,Jayson Tatum,CNC
45711,Nikola Vucevic,Gordon Hayward,CNC
45712,Daniel Theis,Terrence Ross,CNC
45713,Jaylen Brown,Magic,CNC
45714,Nikola Vucevic,Daniel Theis,CNC
45715,Nikola Vucevic,Marcus Smart,CNC
45716,Gordon Hayward,Melvin Frazier Jr.,CNC
45717,Gordon Hayward,Markelle Fultz,CNC
45718,Daniel Theis,Markelle Fultz,CNC
45719,Daniel Theis,James Ennis,CNC
45721,Daniel Theis,Nikola Vucevic,CNC
45722,Jusuf Nurkic,Josh Richardson,CNC
45723,Matisse Thybulle,Jusuf Nurkic,CNC
45725,Matisse Thybulle,Damian Lillard,INC
45726,Al Horford,Gary Trent Jr.,CNC
45727,CJ McCollum,Alec Burks,CNC
45728,Jusuf Nurkic,Matisse Thybulle,CNC
45729,Alec Burks,Gary Trent Jr.,CNC
45730,Al Horford,Jusuf Nurkic,CNC
45731,Jusuf Nurkic,Al Horford,INC
45732,Jusuf Nurkic,Al Horford,CNC
45733,CJ McCollum,Tobias Harris,CNC
45734,Matisse Thybulle,Damian Lillard,CNC
45735,Jusuf Nurkic,Alec Burks,CNC
45736,Carmelo Anthony,Al Horford,CNC
45737,Mike Scott,Jusuf Nurkic,CC
45738,Carmelo Anthony,Josh Richardson,INC
45739,Carmelo Anthony,Josh Richardson,CNC
45740,Carmelo Anthony,Josh Richardson,CNC
45741,Tobias Harris,Gary Trent Jr.,CNC
45742,Damian Lillard,Tobias Harris,CNC
45743,Dion Waiters,Monte Morris,CNC
45744,Keita Bates-Diop,Anthony Davis,CNC
45745,Keita Bates-Diop,Kyle Kuzma,CNC
45746,Kyle Kuzma,Mason Plumlee,CNC
45747,Anthony Davis,PJ Dozier,CNC
45748,PJ Dozier,Anthony Davis,CC
45749,Mason Plumlee,Danny Green,CNC
45750,Dion Waiters,PJ Dozier,CNC
45751,Dion Waiters,PJ Dozier,CNC
45752,PJ Dozier,Dion Waiters,CC
45753,Kyle Kuzma,Keita Bates-Diop,CNC
45754,Bol Bol,LeBron James,CC
45755,Mason Plumlee,Danny Green,CNC
45756,Anthony Davis,Monte Morris,CC
45757,Anthony Davis,Mason Plumlee,CNC
45758,Danny Green,PJ Dozier,CNC
45759,Mason Plumlee,Anthony Davis,CNC
45760,Kyle Kuzma,Mason Plumlee,CNC
45761,Kyle Kuzma,PJ Dozier,CC
45762,Nuggets,Lakers,CNC
45763,Kyle Kuzma,Mason Plumlee,CNC
45764,Carmelo Anthony,Dorian Finney-Smith,CNC
45765,Kristaps Porzingis,Gary Trent Jr.,CNC
45766,Kristaps Porzingis,Gary Trent Jr.,CC
45767,Gary Trent Jr.,Dorian Finney-Smith,CNC
45768,Luka Doncic,Damian Lillard,CNC
45769,Maxi Kleber,Hassan Whiteside,CNC
45770,Luka Doncic,Gary Trent Jr.,CNC
45771,Hassan Whiteside,Luka Doncic,CNC
45772,Hassan Whiteside,Luka Doncic,CC
45773,Damian Lillard,Maxi Kleber,CNC
45774,Dorian Finney-Smith,Damian Lillard,CNC
45775,Maxi Kleber,Hassan Whiteside,CNC
45776,Tim Hardaway Jr.,Gary Trent Jr.,CNC
45777,Tim Hardaway Jr.,CJ McCollum,CNC
45778,Trey Burke,Damian Lillard,CC
45779,Tim Hardaway Jr.,CJ McCollum,CC
45780,CJ McCollum,Tim Hardaway Jr.,CNC
45781,Aaron Holiday,Chris Clemons,CNC
45782,Chris Clemons,Aaron Holiday,CNC
45783,Justin Holiday,James Harden,CNC
45784,James Harden,Justin Holiday,CNC
45785,Michael Frazier,Victor Oladipo,CNC
45786,Justin Holiday,James Harden,CNC
45787,Myles Turner,Robert Covington,CNC
45788,Victor Oladipo,James Harden,CNC
45789,Victor Oladipo,James Harden,CC
45790,Doug McDermott,Jeff Green,CNC
45791,Aaron Holiday,Robert Covington,CNC
45792,Myles Turner,Robert Covington,CNC
45793,Jeff Green,Victor Oladipo,CNC
45794,Michael Frazier,Justin Holiday,CC
45795,James Harden,Pacers,CNC
45796,Justin Holiday,James Harden,CNC
45797,Tyler Herro,Terrance Ferguson,CNC
45798,Mike Muscala,Tyler Herro,INC
45799,Devon Hall,Chris Silva,CC
45800,Chris Silva,Terrance Ferguson,CNC
45801,Solomon Hill,Abdel Nader,CNC
45802,Devon Hall,Tyler Herro,CNC
45803,Terrance Ferguson,Tyler Herro,CNC
45804,Meyers Leonard,Thunder,CNC
45805,Abdel Nader,Chris Silva,CNC
45806,Mike Muscala,Solomon Hill,CNC
45807,Chris Silva,Mike Muscala,INC
45808,Terrance Ferguson,Tyler Herro,CNC
45809,Norvel Pelle,Dewan Hernandez,CC
45810,Dewan Hernandez,Norvel Pelle,CNC
45811,Raul Neto,Matt Thomas,INC
45812,Stanley Johnson,Furkan Korkmaz,CNC
45813,Furkan Korkmaz,Stanley Johnson,CC
45814,Furkan Korkmaz,Paul Watson,CNC
45815,Norvel Pelle,Malcolm Miller,INC
45816,Malcolm Miller,Raul Neto,CC
45817,Matisse Thybulle,Stanley Johnson,CNC
45818,Dewan Hernandez,Raul Neto,CNC
45819,Paul Watson,Matisse Thybulle,CNC
45820,Matisse Thybulle,Stanley Johnson,CNC
45821,Norvel Pelle,Dewan Hernandez,CNC
45822,Norvel Pelle,Stanley Johnson,CNC
45823,Norvel Pelle,Paul Watson,CC
45824,Jusuf Nurkic,Jarrett Allen,CNC
45825,Damian Lillard,Joe Harris,CNC
45826,Joe Harris,Jusuf Nurkic,CC
45827,Jusuf Nurkic,Joe Harris,CNC
45828,Jusuf Nurkic,Trail Blazers,CNC
45829,Gary Trent Jr.,Nets,CNC
45830,Garrett Temple,Damian Lillard,CNC
45831,Jusuf Nurkic,Timothe Luwawu-Cabarrot,CNC
45832,Damian Lillard,Caris LeVert,CNC
45833,Caris LeVert,CJ McCollum,CNC
45834,Caris LeVert,CJ McCollum,CNC
45835,Jusuf Nurkic,Jarrett Allen,CNC
45836,CJ McCollum,Garrett Temple,CNC
45837,Gary Trent Jr.,Caris LeVert,CNC
45838,Jusuf Nurkic,Caris LeVert,CC
45839,Jusuf Nurkic,Caris LeVert,CNC
45840,Timothe Luwawu-Cabarrot,Jusuf Nurkic,CNC
45841,Damian Lillard,Garrett Temple,CNC
45842,Devon Hall,Joakim Noah,CNC
45843,Devon Hall,Joakim Noah,CNC
45844,Andre Roberson,Rodney McGruder,CNC
45845,Kevin Hervey,Rodney McGruder,CNC
45846,Terance Mann,Andre Roberson,CNC
45847,Devon Hall,Terance Mann,CNC
45848,Joakim Noah,Andre Roberson,CNC
45849,Patrick Patterson,Hamidou Diallo,CNC
45850,Thunder,Clippers,CC
45851,Andre Roberson,Joakim Noah,CNC
45852,Joakim Noah,Andre Roberson,CNC
45853,Kevin Hervey,Terance Mann,CNC
45854,Terance Mann,Thunder,CNC
45855,Kevin Hervey,Terance Mann,CC
45856,Andre Roberson,Amir Coffey,CNC
45857,Amir Coffey,Andre Roberson,CNC
45858,Joakim Noah,Deonte Burton,INC
45859,Andre Roberson,Joakim Noah,CNC
45860,Joakim Noah,Andre Roberson,CNC
45861,Joakim Noah,Hamidou Diallo,CNC
45862,Patrick Patterson,Andre Roberson,INC
45863,Rodney McGruder,Andre Roberson,CNC
45864,Joakim Noah,Hamidou Diallo,CNC
45865,Devon Hall,Joakim Noah,CNC
45866,Andre Roberson,Amir Coffey,CNC
45867,Amir Coffey,Devon Hall,CC
45868,Terance Mann,Darius Bazley,CNC
45869,Terance Mann,Darius Bazley,CC
45870,Terance Mann,Kevin Hervey,CNC
45871,Terance Mann,Kevin Hervey,CNC
45872,Joakim Noah,Darius Bazley,CNC
45873,Rodney McGruder,Deonte Burton,CNC
45874,Joakim Noah,Hamidou Diallo,CNC
45875,Hamidou Diallo,Terance Mann,CC
45876,Darius Bazley,Patrick Patterson,CNC
45877,Hamidou Diallo,Terance Mann,CNC
45878,Hamidou Diallo,Terance Mann,CC
45879,Joakim Noah,Darius Bazley,CNC
45880,Patrick Patterson,Deonte Burton,CNC
45881,Patrick Patterson,Darius Bazley,CNC
45882,Kevin Hervey,Amir Coffey,CNC
45883,Devon Hall,Amir Coffey,CC
45884,Rodney McGruder,Devon Hall,CNC
45885,Devon Hall,Patrick Patterson,CNC
45886,Amir Coffey,Devon Hall,CC
45887,Patrick Patterson,Hamidou Diallo,CNC
45888,Clippers,Thunder,CNC
45889,Patrick Patterson,Darius Bazley,CNC
45890,Hamidou Diallo,Patrick Patterson,CC
45891,Gary Trent Jr.,Ja Morant,CNC
45892,CJ McCollum,Ja Morant,CNC
45893,Ja Morant,CJ McCollum,CNC
45894,Brandon Clarke,Jusuf Nurkic,CNC
45895,Jusuf Nurkic,Ja Morant,CNC
45896,Gary Trent Jr.,Dillon Brooks,CNC
45897,Jonas Valanciunas,Jusuf Nurkic,CNC
45898,Gary Trent Jr.,Ja Morant,CNC
45899,Jonas Valanciunas,Carmelo Anthony,CNC
45900,Jusuf Nurkic,Grayson Allen,CC
45901,Damian Lillard,Grayson Allen,CNC
45902,Jonas Valanciunas,Jusuf Nurkic,CNC
45903,Dillon Brooks,Jusuf Nurkic,CNC
45904,Grayson Allen,CJ McCollum,CNC
45905,Grayson Allen,Gary Trent Jr.,CC
45906,Brandon Clarke,Jusuf Nurkic,CNC
45907,Anthony Tolliver,Carmelo Anthony,CC
45908,Brandon Clarke,Jusuf Nurkic,CC
45909,Jayson Tatum,Alec Burks,INC
45910,Daniel Theis,Josh Richardson,CNC
45911,Daniel Theis,Joel Embiid,CNC
45912,Jaylen Brown,Tobias Harris,CNC
45913,Daniel Theis,Joel Embiid,CNC
45914,Joel Embiid,Kemba Walker,CC
45915,Daniel Theis,Joel Embiid,CNC
45916,Marcus Smart,Josh Richardson,CNC
45917,Josh Richardson,Jayson Tatum,CNC
45918,Josh Richardson,Jayson Tatum,CC
45919,Joel Embiid,Marcus Smart,CNC
45920,Tobias Harris,Marcus Smart,CNC
45921,Jaylen Brown,Alec Burks,CC
45922,Daniel Theis,Joel Embiid,CNC
45923,Jayson Tatum,Joel Embiid,CNC
45924,Joel Embiid,Jayson Tatum,CNC
45925,Joel Embiid,Kemba Walker,CNC
45926,Celtics,76ers,CNC
45927,Tobias Harris,Kemba Walker,CNC
45928,Matisse Thybulle,Kemba Walker,CC
45929,Al Horford,Jayson Tatum,CC
45930,Donovan Mitchell,Nuggets,CNC
45931,Rudy Gobert,Nikola Jokic,CNC
45932,Jordan Clarkson,Jerami Grant,CNC
45933,Nikola Jokic,Rudy Gobert,CNC
45934,Jazz,Nuggets,CC
45935,Nuggets,Jazz,CNC
45936,Royce O'Neale,Jerami Grant,CNC
45937,Michael Porter Jr.,Donovan Mitchell,CC
45938,Joe Ingles,Jamal Murray,CNC
45939,Royce O'Neale,Jerami Grant,CNC
45940,Monte Morris,Rudy Gobert,CNC
45941,Nikola Jokic,Joe Ingles,CNC
45942,Joe Ingles,Jamal Murray,CNC
45944,Jamal Murray,Donovan Mitchell,CNC
45945,Joe Ingles,Nikola Jokic,CNC
45946,Torrey Craig,Jordan Clarkson,CNC
45947,Jamal Murray,Joe Ingles,CNC
45948,Nikola Jokic,Joe Ingles,CNC
45949,Jordan Clarkson,Torrey Craig,CNC
45950,Royce O'Neale,Nikola Jokic,CNC
45951,Rudy Gobert,Nikola Jokic,CC
45952,Torrey Craig,Donovan Mitchell,CC
45953,Nikola Jokic,Joe Ingles,CNC
45954,Rudy Gobert,Nikola Jokic,CNC
45955,Danny Green,Jusuf Nurkic,CC
45956,Danny Green,CJ McCollum,CNC
45957,Kyle Kuzma,Trail Blazers,CNC
45958,Danny Green,Jusuf Nurkic,CNC
45959,Kyle Kuzma,Carmelo Anthony,CNC
45960,Gary Trent Jr.,LeBron James,CNC
45961,Damian Lillard,Alex Caruso,CNC
45962,Damian Lillard,Alex Caruso,CNC
45963,Jusuf Nurkic,Danny Green,CNC
45964,Anthony Davis,CJ McCollum,CNC
45965,Anthony Davis,Gary Trent Jr.,CNC
45966,Alex Caruso,Damian Lillard,CNC
45967,Anthony Davis,Gary Trent Jr.,CNC
45968,Gary Trent Jr.,Kyle Kuzma,CNC
45969,Fred VanVleet,Jarrett Allen,CNC
45970,Caris LeVert,Pascal Siakam,CC
45971,Jarrett Allen,OG Anunoby,CNC
45972,Pascal Siakam,Caris LeVert,CNC
45973,Pascal Siakam,Nets,CNC
45974,Jarrett Allen,Pascal Siakam,CNC
45975,Joe Harris,Pascal Siakam,CNC
45976,Caris LeVert,Fred VanVleet,CNC
45977,Kyle Lowry,Joe Harris,CNC
45978,Jarrett Allen,Kyle Lowry,CNC
45979,Norman Powell,Garrett Temple,CNC
45980,Jarrett Allen,OG Anunoby,CNC
45981,OG Anunoby,Joe Harris,CC
45982,Kyle Lowry,Joe Harris,INC
45983,Garrett Temple,Raptors,CNC
45984,Fred VanVleet,Garrett Temple,INC
45985,Enes Kanter,Joel Embiid,CNC
45986,Jayson Tatum,Joel Embiid,CNC
45987,Shake Milton,Jaylen Brown,CC
45988,Jayson Tatum,Joel Embiid,CNC
45989,Enes Kanter,Joel Embiid,CNC
45990,Josh Richardson,Jayson Tatum,CC
45991,Marcus Smart,Shake Milton,CNC
45992,Jaylen Brown,Tobias Harris,CNC
45993,Kemba Walker,Al Horford,CNC
45994,Jaylen Brown,Joel Embiid,CNC
45995,Jayson Tatum,Josh Richardson,CNC
45996,Marcus Smart,Josh Richardson,CNC
45997,Joel Embiid,Marcus Smart,CC
45998,Jaylen Brown,Tobias Harris,CNC
45999,Al Horford,Marcus Smart,CNC
46000,Al Horford,Marcus Smart,CC
46001,Jaylen Brown,Joel Embiid,CNC
46002,Bam Adebayo,Justin Holiday,CNC
46003,Bam Adebayo,Myles Turner,CNC
46004,Victor Oladipo,Bam Adebayo,CNC
46005,Jimmy Butler,Pacers,INC
46006,T.J. Warren,Jimmy Butler,CNC
46007,Bam Adebayo,T.J. Warren,CNC
46008,T.J. Warren,Bam Adebayo,CC
46009,Goran Dragic,Malcolm Brogdon,CNC
46010,Jimmy Butler,T.J. Warren,CNC
46011,Justin Holiday,Jimmy Butler,CNC
46012,Myles Turner,Goran Dragic,CNC
46013,Heat,Pacers,CC
46014,Goran Dragic,T.J. Warren,CNC
46015,Victor Oladipo,Jimmy Butler,CC
46016,Goran Dragic,Malcolm Brogdon,CC
46017,Bam Adebayo,Justin Holiday,INC
46018,Aaron Holiday,Jimmy Butler,CC
46019,T.J. Warren,Heat,INC
46020,Myles Turner,Goran Dragic,CC
46021,Goran Dragic,Aaron Holiday,CNC
46022,Aaron Holiday,Jae Crowder,CC
46023,Jeff Green,Steven Adams,CNC
46024,Steven Adams,Eric Gordon,CNC
46025,Ben McLemore,Thunder,CNC
46026,Chris Paul,Rockets,INC
46027,Chris Paul,Ben McLemore,CNC
46028,Ben McLemore,Chris Paul,CNC
46029,James Harden,Steven Adams,CNC
46030,Danuel House Jr.,Steven Adams,CNC
46031,PJ Tucker,Dennis Schroder,CC
46032,Shai Gilgeous-Alexander,James Harden,CNC
46033,Jeff Green,Chris Paul,CNC
46034,Steven Adams,Eric Gordon,CNC
46035,Chris Paul,James Harden,CNC
46036,Dennis Schroder,Danuel House Jr.,CNC
46037,Danuel House Jr.,Dennis Schroder,CC
46038,James Harden,Chris Paul,CNC
46039,Chris Paul,James Harden,CC
46040,Dennis Schroder,Eric Gordon,INC
46041,PJ Tucker,Thunder,CC
46042,Danilo Gallinari,PJ Tucker,CNC
46043,Jeff Green,Luguentz Dort,CNC
46044,Luguentz Dort,Jeff Green,CNC
46045,Luguentz Dort,James Harden,CNC
46046,Nerlens Noel,Danuel House Jr.,CC
46047,Shai Gilgeous-Alexander,Jeff Green,CNC
46048,James Harden,Chris Paul,CNC
46049,James Harden,Chris Paul,CNC
46050,Tim Hardaway Jr.,Kawhi Leonard,CNC
46051,Tim Hardaway Jr.,Kawhi Leonard,CNC
46052,Kawhi Leonard,Mavericks,CC
46053,Kawhi Leonard,Tim Hardaway Jr.,CNC
46054,Kawhi Leonard,Tim Hardaway Jr.,CC
46055,Kawhi Leonard,Maxi Kleber,INC
46056,Dorian Finney-Smith,Kawhi Leonard,CNC
46057,Kawhi Leonard,Luka Doncic,CNC
46058,Luka Doncic,Kawhi Leonard,CNC
46059,Luka Doncic,Clippers,CNC
46060,Maxi Kleber,Marcus Morris,CNC
46061,Seth Curry,Lou Williams,CC
46062,Paul George,Maxi Kleber,CNC
46063,Paul George,Maxi Kleber,CNC
46064,Marcus Morris,Luka Doncic,CNC
46065,Kawhi Leonard,Seth Curry,CNC
46066,Mavericks,Clippers,CC
46067,Tim Hardaway Jr.,Kawhi Leonard,CNC
46068,Dorian Finney-Smith,Kawhi Leonard,CNC
46069,Trey Burke,Marcus Morris,CNC
46070,Marcus Morris,Trey Burke,CNC
46071,Luka Doncic,Paul George,CNC
46072,Paul George,Maxi Kleber,CNC
46073,Paul George,Luka Doncic,CNC
46074,Trey Burke,Lou Williams,CC
46075,Dorian Finney-Smith,Lou Williams,CNC
46076,Marcus Morris,Dorian Finney-Smith,CNC
46077,Marcus Morris,Luka Doncic,CNC
46078,Marcus Morris,Maxi Kleber,CNC
46079,Maxi Kleber,Kawhi Leonard,CNC
46080,Tim Hardaway Jr.,Kawhi Leonard,CNC
46081,Reggie Jackson,Luka Doncic,CNC
46082,Luka Doncic,Clippers,CNC
46083,Tim Hardaway Jr.,Lou Williams,CNC
46084,Maxi Kleber,Marcus Morris,CNC
46085,Tim Hardaway Jr.,Kawhi Leonard,CNC
46086,Reggie Jackson,Luka Doncic,CC
46087,Maxi Kleber,Kawhi Leonard,CNC
46088,Reggie Jackson,Luka Doncic,CNC
46089,Jerami Grant,Donovan Mitchell,CNC
46090,Nikola Jokic,Donovan Mitchell,CC
46091,Nikola Jokic,Royce O'Neale,CNC
46092,Rudy Gobert,Jerami Grant,CNC
46093,Jamal Murray,Donovan Mitchell,CNC
46094,Jerami Grant,Rudy Gobert,CNC
46095,Rudy Gobert,Nikola Jokic,CC
46096,Paul Millsap,Donovan Mitchell,CNC
46097,Royce O'Neale,Jerami Grant,CNC
46098,Jerami Grant,Donovan Mitchell,CC
46099,Royce O'Neale,Jamal Murray,CNC
46100,Joe Ingles,Nikola Jokic,CNC
46101,Rudy Gobert,Jamal Murray,INC
46102,Monte Morris,Donovan Mitchell,CC
46103,Joe Ingles,Jamal Murray,CNC
