,committing,disadvantaged,decision
35279,Nemanja Bjelica,Jayson Tatum,CNC
35280,Nemanja Bjelica,Marcus Morris,CNC
35281,Gordon Hayward,Buddy Hield,CNC
35283,Marcus Morris,Nemanja Bjelica,CNC
35284,Buddy Hield,Marcus Smart,CNC
35285,Marcus Morris,De'Aaron Fox,CNC
35286,Al Horford,Buddy Hield,CNC
35287,Buddy Hield,Jayson Tatum,CNC
35288,Willie Cauley-Stein,Jayson Tatum,CC
35289,Buddy Hield,Jaylen Brown,CNC
35290,Jayson Tatum,Harrison Barnes,CNC
35291,Gordon Hayward,Buddy Hield,CC
35292,Buddy Hield,Gordon Hayward,CNC
35293,Terry Rozier,Harrison Barnes,CNC
35294,Jusuf Nurkic,Terrance Ferguson,CNC
35295,Russell Westbrook,Damian Lillard,CNC
35296,Steven Adams,Jusuf Nurkic,CC
35297,Damian Lillard,Steven Adams,CNC
35298,Al-Farouq Aminu,Paul George,CNC
35299,Jusuf Nurkic,Paul George,INC
35300,Paul George,Trail Blazers,CC
35301,Terrance Ferguson,Damian Lillard,CC
35302,Al-Farouq Aminu,Paul George,CNC
35303,Al-Farouq Aminu,Paul George,CNC
35305,Steven Adams,Al-Farouq Aminu,CNC
35306,Damian Lillard,Russell Westbrook,INC
35307,Jusuf Nurkic,Steven Adams,CNC
35308,Paul George,Jusuf Nurkic,INC
35309,CJ McCollum,Terrance Ferguson,CNC
35310,Jusuf Nurkic,Russell Westbrook,CNC
35311,Jusuf Nurkic,Thunder,INC
35312,Steven Adams,Damian Lillard,INC
35313,Paul George,Jusuf Nurkic,CC
35314,Jerami Grant,Jusuf Nurkic,CC
35315,Markieff Morris,Al-Farouq Aminu,CC
35316,Russell Westbrook,Damian Lillard,CC
35317,Cody Zeller,Bobby Portis,CNC
35318,Tomas Satoransky,Cody Zeller,CNC
35319,Jeremy Lamb,Tomas Satoransky,CNC
35320,Bradley Beal,Jeremy Lamb,CNC
35321,Cody Zeller,Jeff Green,CNC
35323,Cody Zeller,Trevor Ariza,CNC
35325,Dwayne Bacon,Bobby Portis,CNC
35326,Nicolas Batum,Bradley Beal,CNC
35327,Jeremy Lamb,Bobby Portis,CNC
35328,Cody Zeller,Tomas Satoransky,CNC
35329,Bradley Beal,Cody Zeller,CNC
35330,Dwayne Bacon,Bradley Beal,CNC
35331,Dwayne Bacon,Bradley Beal,CNC
35332,Marvin Williams,Bobby Portis,INC
35333,Bobby Portis,Cody Zeller,CNC
35334,Tomas Satoransky,Nicolas Batum,CC
35335,Montrezl Harrell,Steven Adams,CNC
35336,Terrance Ferguson,Lou Williams,CNC
35337,Jerami Grant,Patrick Beverley,CNC
35338,Patrick Beverley,Jerami Grant,INC
35339,Russell Westbrook,Danilo Gallinari,CNC
35340,Steven Adams,Clippers,CNC
35341,Dennis Schroder,Danilo Gallinari,CNC
35343,Dennis Schroder,Danilo Gallinari,CNC
35344,Patrick Beverley,Jerami Grant,CNC
35345,Russell Westbrook,Danilo Gallinari,CC
35346,Danilo Gallinari,Dennis Schroder,CNC
35347,Lou Williams,Dennis Schroder,CNC
35348,Dennis Schroder,Lou Williams,CC
35349,Steven Adams,Montrezl Harrell,CNC
35350,Patrick Beverley,Terrance Ferguson,INC
35351,Abdel Nader,Landry Shamet,CNC
35352,Jerami Grant,Danilo Gallinari,CNC
35353,Dennis Schroder,Danilo Gallinari,CC
35354,Steven Adams,Danilo Gallinari,CC
35355,Trae Young,Spencer Dinwiddie,CNC
35356,Trae Young,D'Angelo Russell,CNC
35357,Alex Len,Joe Harris,CNC
35358,Jarrett Allen,Kevin Huerter,CNC
35359,DeMarre Carroll,Alex Len,INC
35360,Kevin Huerter,DeMarre Carroll,CC
35361,John Collins,Spencer Dinwiddie,CNC
35362,Spencer Dinwiddie,Trae Young,CC
35363,John Collins,DeMarre Carroll,CNC
35365,John Collins,Spencer Dinwiddie,CNC
35366,Jarrett Allen,John Collins,CNC
35367,Alex Len,Jarrett Allen,CC
35368,Joe Harris,Taurean Prince,CNC
35369,Kevin Huerter,D'Angelo Russell,CNC
35370,Jarrett Allen,Alex Len,CNC
35371,Jarrett Allen,Trae Young,CNC
35372,Trae Young,Spencer Dinwiddie,CNC
35374,Taurean Prince,D'Angelo Russell,CNC
35375,Joe Harris,John Collins,CC
35376,Trae Young,Spencer Dinwiddie,CNC
35377,John Collins,Joe Harris,CC
35378,John Collins,Spencer Dinwiddie,CNC
35379,Spencer Dinwiddie,Trae Young,CNC
35380,John Collins,Spencer Dinwiddie,CNC
35381,Joe Harris,John Collins,CNC
35382,Karl-Anthony Towns,Bobby Portis,CC
35383,Jeff Teague,Tomas Satoransky,CNC
35384,Karl-Anthony Towns,Bobby Portis,INC
35385,Bradley Beal,Jeff Teague,CNC
35386,Karl-Anthony Towns,Bobby Portis,CNC
35387,Karl-Anthony Towns,Trevor Ariza,CNC
35388,Derrick Rose,Trevor Ariza,CNC
35389,Trevor Ariza,Karl-Anthony Towns,CC
35390,Karl-Anthony Towns,Trevor Ariza,CNC
35392,Trevor Ariza,Karl-Anthony Towns,CNC
35393,Bradley Beal,Keita Bates-Diop,CNC
35394,Bradley Beal,Keita Bates-Diop,INC
35395,Anthony Tolliver,Bradley Beal,CNC
35396,Anthony Tolliver,Tomas Satoransky,CNC
35398,Karl-Anthony Towns,Trevor Ariza,CNC
35399,Trevor Ariza,Karl-Anthony Towns,CNC
35400,Bobby Portis,Keita Bates-Diop,CNC
35401,Tomas Satoransky,Derrick Rose,CC
35402,Bradley Beal,Keita Bates-Diop,CC
35403,Bobby Portis,Timberwolves,CNC
35404,Jeff Teague,Bradley Beal,CNC
35405,Bradley Beal,Timberwolves,INC
35406,Trevor Ariza,Derrick Rose,CC
35407,Taj Gibson,Bradley Beal,CNC
35408,Keita Bates-Diop,Thomas Bryant,CNC
35409,Jeff Teague,Bradley Beal,CC
35411,Trevor Ariza,Taj Gibson,CNC
35412,Jeff Green,Anthony Tolliver,CNC
35413,Trevor Ariza,Taj Gibson,CNC
35414,Jeff Green,Anthony Tolliver,CC
35415,Tomas Satoransky,Taj Gibson,CNC
35416,Bradley Beal,Keita Bates-Diop,CNC
35417,Tomas Satoransky,Jeff Teague,CNC
35419,Tomas Satoransky,Jeff Teague,CNC
35420,Taj Gibson,Jeff Green,CNC
35421,Tomas Satoransky,Taj Gibson,CNC
35422,Jabari Parker,Taj Gibson,CC
35423,Jeff Green,Derrick Rose,CNC
35424,Jeff Green,Timberwolves,CNC
35425,Taj Gibson,Trevor Ariza,CNC
35426,Keita Bates-Diop,Jeff Green,CNC
35427,Anthony Tolliver,Bradley Beal,CNC
35428,Bradley Beal,Timberwolves,CNC
35429,Tomas Satoransky,Taj Gibson,CNC
35430,Keita Bates-Diop,Bradley Beal,CNC
35431,Taj Gibson,Tomas Satoransky,CNC
35432,Taj Gibson,Tomas Satoransky,CNC
35433,Trevor Ariza,Taj Gibson,CNC
35434,Taj Gibson,Jabari Parker,CNC
35435,Tomas Satoransky,Jeff Teague,CC
35436,Jeff Teague,Tomas Satoransky,CNC
35437,Timberwolves,Wizards,CC
35438,Taj Gibson,Bobby Portis,CNC
35439,DeAndre Jordan,Harrison Barnes,CNC
35440,DeAndre Jordan,Harrison Barnes,CNC
35441,Nemanja Bjelica,Lance Thomas,CNC
35442,Lance Thomas,Harrison Barnes,CNC
35443,Lance Thomas,De'Aaron Fox,CC
35444,Dennis Smith Jr.,Kings,CNC
35445,Buddy Hield,Dennis Smith Jr.,CNC
35446,Nemanja Bjelica,Dennis Smith Jr.,CNC
35447,Harrison Barnes,John Jenkins,CNC
35448,DeAndre Jordan,Kings,CNC
35449,DeAndre Jordan,Harrison Barnes,CNC
35450,Harrison Barnes,DeAndre Jordan,CNC
35451,Willie Cauley-Stein,John Jenkins,CNC
35452,Nemanja Bjelica,John Jenkins,CNC
35453,James Harden,Maxi Kleber,CNC
35454,Chris Paul,Tim Hardaway Jr.,CNC
35455,James Harden,Tim Hardaway Jr.,CNC
35456,Dorian Finney-Smith,Chris Paul,INC
35457,PJ Tucker,Luka Doncic,CNC
35458,PJ Tucker,Dwight Powell,CNC
35459,Tim Hardaway Jr.,Chris Paul,CNC
35460,James Harden,Jalen Brunson,CNC
35462,James Harden,Jalen Brunson,CNC
35463,Jalen Brunson,James Harden,CNC
35464,Luka Doncic,PJ Tucker,CNC
35465,Dorian Finney-Smith,PJ Tucker,CNC
35466,James Harden,Luka Doncic,CNC
35467,Clint Capela,Mavericks,CNC
35468,Clint Capela,Dwight Powell,CNC
35470,Jalen Brunson,James Harden,CNC
35471,Dwight Powell,James Harden,CNC
35472,Dwight Powell,PJ Tucker,CNC
35473,Chris Paul,Jalen Brunson,CNC
35475,Draymond Green,Kelly Oubre,INC
35476,Richaun Holmes,Alfonzo McKinnie,CC
35477,Tyler Johnson,Klay Thompson,CNC
35478,Deandre Ayton,Klay Thompson,CNC
35479,Stephen Curry,Mikal Bridges,CNC
35480,Klay Thompson,Mikal Bridges,CC
35481,Klay Thompson,Devin Booker,CNC
35482,Devin Booker,Klay Thompson,CC
35483,Klay Thompson,Devin Booker,CNC
35484,Devin Booker,Alfonzo McKinnie,CNC
35485,Draymond Green,Tyler Johnson,CNC
35486,Andre Iguodala,Deandre Ayton,CNC
35487,Alfonzo McKinnie,Deandre Ayton,CNC
35488,Draymond Green,Mikal Bridges,CNC
